entity,group,value,sequence,variable,unit
G1_01,Group 1,117.828,1,demo_measurement,unit
G1_01,Group 1,102.150,2,demo_measurement,unit
G1_01,Group 1,98.418,3,demo_measurement,unit
G1_01,Group 1,113.589,4,demo_measurement,unit
G1_01,Group 1,88.432,5,demo_measurement,unit
G1_01,Group 1,100.506,6,demo_measurement,unit
G1_01,Group 1,83.448,7,demo_measurement,unit
G1_01,Group 1,96.816,8,demo_measurement,unit
G1_01,Group 1,112.477,9,demo_measurement,unit
G1_01,Group 1,99.099,10,demo_measurement,unit
G1_01,Group 1,84.096,11,demo_measurement,unit
G1_01,Group 1,103.990,12,demo_measurement,unit
G1_01,Group 1,89.455,13,demo_measurement,unit
G1_01,Group 1,102.799,14,demo_measurement,unit
G1_01,Group 1,88.446,15,demo_measurement,unit
G1_01,Group 1,100.696,16,demo_measurement,unit
G1_01,Group 1,101.588,17,demo_measurement,unit
G1_01,Group 1,118.473,18,demo_measurement,unit
G1_01,Group 1,118.585,19,demo_measurement,unit
G1_01,Group 1,91.718,20,demo_measurement,unit
G1_01,Group 1,72.386,21,demo_measurement,unit
G1_01,Group 1,119.472,22,demo_measurement,unit
G1_01,Group 1,80.133,23,demo_measurement,unit
G1_01,Group 1,101.225,24,demo_measurement,unit
G1_01,Group 1,101.279,25,demo_measurement,unit
G1_01,Group 1,107.710,26,demo_measurement,unit
G1_01,Group 1,92.376,27,demo_measurement,unit
G1_01,Group 1,110.633,28,demo_measurement,unit
G1_01,Group 1,75.505,29,demo_measurement,unit
G1_01,Group 1,86.049,30,demo_measurement,unit
G1_01,Group 1,100.638,31,demo_measurement,unit
G1_01,Group 1,99.056,32,demo_measurement,unit
G1_01,Group 1,89.881,33,demo_measurement,unit
G1_01,Group 1,111.009,34,demo_measurement,unit
G1_01,Group 1,98.273,35,demo_measurement,unit
G1_01,Group 1,84.115,36,demo_measurement,unit
G1_01,Group 1,104.134,37,demo_measurement,unit
G1_01,Group 1,89.145,38,demo_measurement,unit
G1_01,Group 1,111.762,39,demo_measurement,unit
G1_01,Group 1,102.295,40,demo_measurement,unit
G1_01,Group 1,105.742,41,demo_measurement,unit
G1_01,Group 1,113.405,42,demo_measurement,unit
G1_01,Group 1,106.023,43,demo_measurement,unit
G1_01,Group 1,87.815,44,demo_measurement,unit
G1_01,Group 1,91.785,45,demo_measurement,unit
G1_01,Group 1,113.501,46,demo_measurement,unit
G1_01,Group 1,105.648,47,demo_measurement,unit
G1_01,Group 1,104.223,48,demo_measurement,unit
G1_01,Group 1,115.049,49,demo_measurement,unit
G1_01,Group 1,95.546,50,demo_measurement,unit
G1_02,Group 1,106.116,1,demo_measurement,unit
G1_02,Group 1,104.010,2,demo_measurement,unit
G1_02,Group 1,67.536,3,demo_measurement,unit
G1_02,Group 1,84.905,4,demo_measurement,unit
G1_02,Group 1,99.317,5,demo_measurement,unit
G1_02,Group 1,114.512,6,demo_measurement,unit
G1_02,Group 1,114.236,7,demo_measurement,unit
G1_02,Group 1,93.152,8,demo_measurement,unit
G1_02,Group 1,106.321,9,demo_measurement,unit
G1_02,Group 1,101.112,10,demo_measurement,unit
G1_02,Group 1,100.978,11,demo_measurement,unit
G1_02,Group 1,90.633,12,demo_measurement,unit
G1_02,Group 1,110.438,13,demo_measurement,unit
G1_02,Group 1,94.664,14,demo_measurement,unit
G1_02,Group 1,116.733,15,demo_measurement,unit
G1_02,Group 1,106.839,16,demo_measurement,unit
G1_02,Group 1,88.006,17,demo_measurement,unit
G1_02,Group 1,89.964,18,demo_measurement,unit
G1_02,Group 1,98.808,19,demo_measurement,unit
G1_02,Group 1,96.040,20,demo_measurement,unit
G1_02,Group 1,92.600,21,demo_measurement,unit
G1_02,Group 1,102.270,22,demo_measurement,unit
G1_02,Group 1,110.250,23,demo_measurement,unit
G1_02,Group 1,94.815,24,demo_measurement,unit
G1_02,Group 1,100.452,25,demo_measurement,unit
G1_02,Group 1,92.796,26,demo_measurement,unit
G1_02,Group 1,91.019,27,demo_measurement,unit
G1_02,Group 1,109.819,28,demo_measurement,unit
G1_02,Group 1,107.447,29,demo_measurement,unit
G1_02,Group 1,109.128,30,demo_measurement,unit
G1_02,Group 1,87.903,31,demo_measurement,unit
G1_02,Group 1,102.110,32,demo_measurement,unit
G1_02,Group 1,87.768,33,demo_measurement,unit
G1_02,Group 1,124.072,34,demo_measurement,unit
G1_02,Group 1,91.433,35,demo_measurement,unit
G1_02,Group 1,87.244,36,demo_measurement,unit
G1_02,Group 1,89.706,37,demo_measurement,unit
G1_02,Group 1,87.725,38,demo_measurement,unit
G1_02,Group 1,99.709,39,demo_measurement,unit
G1_02,Group 1,108.663,40,demo_measurement,unit
G1_02,Group 1,105.401,41,demo_measurement,unit
G1_02,Group 1,89.439,42,demo_measurement,unit
G1_02,Group 1,101.001,43,demo_measurement,unit
G1_02,Group 1,94.974,44,demo_measurement,unit
G1_02,Group 1,114.076,45,demo_measurement,unit
G1_02,Group 1,108.962,46,demo_measurement,unit
G1_02,Group 1,90.374,47,demo_measurement,unit
G1_02,Group 1,105.791,48,demo_measurement,unit
G1_02,Group 1,82.263,49,demo_measurement,unit
G1_02,Group 1,80.967,50,demo_measurement,unit
G1_03,Group 1,86.581,1,demo_measurement,unit
G1_03,Group 1,102.536,2,demo_measurement,unit
G1_03,Group 1,98.130,3,demo_measurement,unit
G1_03,Group 1,122.347,4,demo_measurement,unit
G1_03,Group 1,85.837,5,demo_measurement,unit
G1_03,Group 1,91.525,6,demo_measurement,unit
G1_03,Group 1,97.376,7,demo_measurement,unit
G1_03,Group 1,81.545,8,demo_measurement,unit
G1_03,Group 1,103.145,9,demo_measurement,unit
G1_03,Group 1,81.013,10,demo_measurement,unit
G1_03,Group 1,76.740,11,demo_measurement,unit
G1_03,Group 1,120.075,12,demo_measurement,unit
G1_03,Group 1,103.422,13,demo_measurement,unit
G1_03,Group 1,115.046,14,demo_measurement,unit
G1_03,Group 1,110.663,15,demo_measurement,unit
G1_03,Group 1,109.483,16,demo_measurement,unit
G1_03,Group 1,89.406,17,demo_measurement,unit
G1_03,Group 1,80.797,18,demo_measurement,unit
G1_03,Group 1,100.094,19,demo_measurement,unit
G1_03,Group 1,103.831,20,demo_measurement,unit
G1_03,Group 1,91.009,21,demo_measurement,unit
G1_03,Group 1,113.794,22,demo_measurement,unit
G1_03,Group 1,107.079,23,demo_measurement,unit
G1_03,Group 1,126.157,24,demo_measurement,unit
G1_03,Group 1,94.338,25,demo_measurement,unit
G1_03,Group 1,108.741,26,demo_measurement,unit
G1_03,Group 1,85.183,27,demo_measurement,unit
G1_03,Group 1,94.376,28,demo_measurement,unit
G1_03,Group 1,93.935,29,demo_measurement,unit
G1_03,Group 1,80.731,30,demo_measurement,unit
G1_03,Group 1,104.871,31,demo_measurement,unit
G1_03,Group 1,97.640,32,demo_measurement,unit
G1_03,Group 1,77.582,33,demo_measurement,unit
G1_03,Group 1,84.371,34,demo_measurement,unit
G1_03,Group 1,85.296,35,demo_measurement,unit
G1_03,Group 1,107.321,36,demo_measurement,unit
G1_03,Group 1,100.977,37,demo_measurement,unit
G1_03,Group 1,85.715,38,demo_measurement,unit
G1_03,Group 1,91.126,39,demo_measurement,unit
G1_03,Group 1,103.700,40,demo_measurement,unit
G1_03,Group 1,121.345,41,demo_measurement,unit
G1_03,Group 1,73.256,42,demo_measurement,unit
G1_03,Group 1,91.032,43,demo_measurement,unit
G1_03,Group 1,130.583,44,demo_measurement,unit
G1_03,Group 1,106.794,45,demo_measurement,unit
G1_03,Group 1,113.434,46,demo_measurement,unit
G1_03,Group 1,120.171,47,demo_measurement,unit
G1_03,Group 1,88.188,48,demo_measurement,unit
G1_03,Group 1,85.647,49,demo_measurement,unit
G1_03,Group 1,83.729,50,demo_measurement,unit
