Sample_ID;Группа;Result;Rep;Units;Param
S101;Контроль;1,314;1;ед;Оптическая плотность
S101;Контроль;1,153;2;ед;Оптическая плотность
S101;Контроль;1,348;3;ед;Оптическая плотность
S101;Контроль;1,259;4;ед;Оптическая плотность
S101;Контроль;1,210;5;ед;Оптическая плотность
S101;Контроль;1,303;6;ед;Оптическая плотность
S101;Контроль;1,039;7;ед;Оптическая плотность
S101;Контроль;1,248;8;ед;Оптическая плотность
S101;Контроль;1,319;9;ед;Оптическая плотность
S101;Контроль;1,360;10;ед;Оптическая плотность
S101;Контроль;1,214;11;ед;Оптическая плотность
S101;Контроль;1,191;12;ед;Оптическая плотность
S101;Контроль;1,283;13;ед;Оптическая плотность
S101;Контроль;1,284;14;ед;Оптическая плотность
S101;Контроль;1,205;15;ед;Оптическая плотность
S101;Контроль;1,298;16;ед;Оптическая плотность
S101;Контроль;1,253;17;ед;Оптическая плотность
S101;Контроль;1,408;18;ед;Оптическая плотность
S101;Контроль;1,201;19;ед;Оптическая плотность
S101;Контроль;1,170;20;ед;Оптическая плотность
S101;Контроль;1,011;21;ед;Оптическая плотность
S101;Контроль;1,321;22;ед;Оптическая плотность
S101;Контроль;1,190;23;ед;Оптическая плотность
S101;Контроль;1,323;24;ед;Оптическая плотность
S102;Контроль;1,289;1;ед;Оптическая плотность
S102;Контроль;1,327;2;ед;Оптическая плотность
S102;Контроль;1,172;3;ед;Оптическая плотность
S102;Контроль;1,327;4;ед;Оптическая плотность
S102;Контроль;1,199;5;ед;Оптическая плотность
S102;Контроль;1,325;6;ед;Оптическая плотность
S102;Контроль;1,314;7;ед;Оптическая плотность
S102;Контроль;1,370;8;ед;Оптическая плотность
S102;Контроль;1,122;9;ед;Оптическая плотность
S102;Контроль;1,251;10;ед;Оптическая плотность
S102;Контроль;1,304;11;ед;Оптическая плотность
S102;Контроль;1,076;12;ед;Оптическая плотность
S102;Контроль;1,174;13;ед;Оптическая плотность
S102;Контроль;1,249;14;ед;Оптическая плотность
S102;Контроль;1,055;15;ед;Оптическая плотность
S102;Контроль;1,084;16;ед;Оптическая плотность
S102;Контроль;0,995;17;ед;Оптическая плотность
S102;Контроль;1,270;18;ед;Оптическая плотность
S102;Контроль;1,372;19;ед;Оптическая плотность
S102;Контроль;1,121;20;ед;Оптическая плотность
S102;Контроль;1,316;21;ед;Оптическая плотность
S102;Контроль;1,096;22;ед;Оптическая плотность
S102;Контроль;1,162;23;ед;Оптическая плотность
S102;Контроль;1,257;24;ед;Оптическая плотность
S103;Контроль;1,265;1;ед;Оптическая плотность
S103;Контроль;1,391;2;ед;Оптическая плотность
S103;Контроль;1,050;3;ед;Оптическая плотность
S103;Контроль;1,353;4;ед;Оптическая плотность
S103;Контроль;1,255;5;ед;Оптическая плотность
S103;Контроль;1,322;6;ед;Оптическая плотность
S103;Контроль;1,210;7;ед;Оптическая плотность
S103;Контроль;1,108;8;ед;Оптическая плотность
S103;Контроль;1,322;9;ед;Оптическая плотность
S103;Контроль;1,288;10;ед;Оптическая плотность
S103;Контроль;1,271;11;ед;Оптическая плотность
S103;Контроль;1,108;12;ед;Оптическая плотность
S103;Контроль;1,252;13;ед;Оптическая плотность
S103;Контроль;1,249;14;ед;Оптическая плотность
S103;Контроль;1,378;15;ед;Оптическая плотность
S103;Контроль;1,261;16;ед;Оптическая плотность
S103;Контроль;1,122;17;ед;Оптическая плотность
S103;Контроль;1,157;18;ед;Оптическая плотность
S103;Контроль;1,263;19;ед;Оптическая плотность
S103;Контроль;1,159;20;ед;Оптическая плотность
S103;Контроль;1,292;21;ед;Оптическая плотность
S103;Контроль;1,124;22;ед;Оптическая плотность
S103;Контроль;1,264;23;ед;Оптическая плотность
S103;Контроль;1,353;24;ед;Оптическая плотность
S104;Контроль;1,247;1;ед;Оптическая плотность
S104;Контроль;1,438;2;ед;Оптическая плотность
S104;Контроль;1,336;3;ед;Оптическая плотность
S104;Контроль;1,067;4;ед;Оптическая плотность
S104;Контроль;1,370;5;ед;Оптическая плотность
S104;Контроль;1,228;6;ед;Оптическая плотность
S104;Контроль;1,201;7;ед;Оптическая плотность
S104;Контроль;1,277;8;ед;Оптическая плотность
S104;Контроль;0,966;9;ед;Оптическая плотность
S104;Контроль;1,267;10;ед;Оптическая плотность
S104;Контроль;1,258;11;ед;Оптическая плотность
S104;Контроль;1,345;12;ед;Оптическая плотность
S104;Контроль;1,201;13;ед;Оптическая плотность
S104;Контроль;1,370;14;ед;Оптическая плотность
S104;Контроль;1,164;15;ед;Оптическая плотность
S104;Контроль;1,035;16;ед;Оптическая плотность
S104;Контроль;1,479;17;ед;Оптическая плотность
S104;Контроль;1,278;18;ед;Оптическая плотность
S104;Контроль;1,262;19;ед;Оптическая плотность
S104;Контроль;1,212;20;ед;Оптическая плотность
S104;Контроль;1,167;21;ед;Оптическая плотность
S104;Контроль;1,256;22;ед;Оптическая плотность
S104;Контроль;1,152;23;ед;Оптическая плотность
S104;Контроль;1,420;24;ед;Оптическая плотность
S105;Контроль;1,211;1;ед;Оптическая плотность
S105;Контроль;1,308;2;ед;Оптическая плотность
S105;Контроль;1,016;3;ед;Оптическая плотность
S105;Контроль;1,301;4;ед;Оптическая плотность
S105;Контроль;1,063;5;ед;Оптическая плотность
S105;Контроль;1,081;6;ед;Оптическая плотность
S105;Контроль;1,323;7;ед;Оптическая плотность
S105;Контроль;1,235;8;ед;Оптическая плотность
S105;Контроль;1,288;9;ед;Оптическая плотность
S105;Контроль;1,230;10;ед;Оптическая плотность
S105;Контроль;1,159;11;ед;Оптическая плотность
S105;Контроль;1,097;12;ед;Оптическая плотность
S105;Контроль;1,187;13;ед;Оптическая плотность
S105;Контроль;1,212;14;ед;Оптическая плотность
S105;Контроль;1,279;15;ед;Оптическая плотность
S105;Контроль;1,259;16;ед;Оптическая плотность
S105;Контроль;1,204;17;ед;Оптическая плотность
S105;Контроль;1,276;18;ед;Оптическая плотность
S105;Контроль;1,239;19;ед;Оптическая плотность
S105;Контроль;1,021;20;ед;Оптическая плотность
S105;Контроль;1,229;21;ед;Оптическая плотность
S105;Контроль;1,313;22;ед;Оптическая плотность
S105;Контроль;1,177;23;ед;Оптическая плотность
S105;Контроль;1,217;24;ед;Оптическая плотность
S106;Контроль;1,309;1;ед;Оптическая плотность
S106;Контроль;1,122;2;ед;Оптическая плотность
S106;Контроль;1,351;3;ед;Оптическая плотность
S106;Контроль;1,227;4;ед;Оптическая плотность
S106;Контроль;1,271;5;ед;Оптическая плотность
S106;Контроль;1,200;6;ед;Оптическая плотность
S106;Контроль;1,302;7;ед;Оптическая плотность
S106;Контроль;1,293;8;ед;Оптическая плотность
S106;Контроль;1,335;9;ед;Оптическая плотность
S106;Контроль;1,151;10;ед;Оптическая плотность
S106;Контроль;1,229;11;ед;Оптическая плотность
S106;Контроль;1,203;12;ед;Оптическая плотность
S106;Контроль;1,202;13;ед;Оптическая плотность
S106;Контроль;1,342;14;ед;Оптическая плотность
S106;Контроль;1,348;15;ед;Оптическая плотность
S106;Контроль;1,199;16;ед;Оптическая плотность
S106;Контроль;1,363;17;ед;Оптическая плотность
S106;Контроль;1,101;18;ед;Оптическая плотность
S106;Контроль;1,239;19;ед;Оптическая плотность
S106;Контроль;1,298;20;ед;Оптическая плотность
S106;Контроль;1,278;21;ед;Оптическая плотность
S106;Контроль;1,085;22;ед;Оптическая плотность
S106;Контроль;1,487;23;ед;Оптическая плотность
S106;Контроль;1,306;24;ед;Оптическая плотность
S107;Контроль;1,178;1;ед;Оптическая плотность
S107;Контроль;1,216;2;ед;Оптическая плотность
S107;Контроль;1,281;3;ед;Оптическая плотность
S107;Контроль;1,285;4;ед;Оптическая плотность
S107;Контроль;1,511;5;ед;Оптическая плотность
S107;Контроль;1,063;6;ед;Оптическая плотность
S107;Контроль;1,255;7;ед;Оптическая плотность
S107;Контроль;1,316;8;ед;Оптическая плотность
S107;Контроль;1,149;9;ед;Оптическая плотность
S107;Контроль;1,244;10;ед;Оптическая плотность
S107;Контроль;1,404;11;ед;Оптическая плотность
S107;Контроль;1,218;12;ед;Оптическая плотность
S107;Контроль;1,282;13;ед;Оптическая плотность
S107;Контроль;1,171;14;ед;Оптическая плотность
S107;Контроль;1,379;15;ед;Оптическая плотность
S107;Контроль;1,126;16;ед;Оптическая плотность
S107;Контроль;1,225;17;ед;Оптическая плотность
S107;Контроль;1,206;18;ед;Оптическая плотность
S107;Контроль;1,332;19;ед;Оптическая плотность
S107;Контроль;1,426;20;ед;Оптическая плотность
S107;Контроль;1,071;21;ед;Оптическая плотность
S107;Контроль;1,284;22;ед;Оптическая плотность
S107;Контроль;1,231;23;ед;Оптическая плотность
S107;Контроль;1,198;24;ед;Оптическая плотность
S108;Контроль;1,288;1;ед;Оптическая плотность
S108;Контроль;1,271;2;ед;Оптическая плотность
S108;Контроль;1,301;3;ед;Оптическая плотность
S108;Контроль;1,289;4;ед;Оптическая плотность
S108;Контроль;1,231;5;ед;Оптическая плотность
S108;Контроль;1,232;6;ед;Оптическая плотность
S108;Контроль;1,417;7;ед;Оптическая плотность
S108;Контроль;1,187;8;ед;Оптическая плотность
S108;Контроль;1,127;9;ед;Оптическая плотность
S108;Контроль;1,243;10;ед;Оптическая плотность
S108;Контроль;1,365;11;ед;Оптическая плотность
S108;Контроль;1,401;12;ед;Оптическая плотность
S108;Контроль;1,091;13;ед;Оптическая плотность
S108;Контроль;1,063;14;ед;Оптическая плотность
S108;Контроль;1,237;15;ед;Оптическая плотность
S108;Контроль;1,278;16;ед;Оптическая плотность
S108;Контроль;1,117;17;ед;Оптическая плотность
S108;Контроль;1,285;18;ед;Оптическая плотность
S108;Контроль;1,264;19;ед;Оптическая плотность
S108;Контроль;1,219;20;ед;Оптическая плотность
S108;Контроль;1,284;21;ед;Оптическая плотность
S108;Контроль;1,299;22;ед;Оптическая плотность
S108;Контроль;1,324;23;ед;Оптическая плотность
S108;Контроль;1,217;24;ед;Оптическая плотность
S109;Контроль;1,190;1;ед;Оптическая плотность
S109;Контроль;1,134;2;ед;Оптическая плотность
S109;Контроль;1,159;3;ед;Оптическая плотность
S109;Контроль;1,239;4;ед;Оптическая плотность
S109;Контроль;1,189;5;ед;Оптическая плотность
S109;Контроль;1,262;6;ед;Оптическая плотность
S109;Контроль;1,060;7;ед;Оптическая плотность
S109;Контроль;1,274;8;ед;Оптическая плотность
S109;Контроль;1,145;9;ед;Оптическая плотность
S109;Контроль;1,273;10;ед;Оптическая плотность
S109;Контроль;1,192;11;ед;Оптическая плотность
S109;Контроль;1,167;12;ед;Оптическая плотность
S109;Контроль;1,158;13;ед;Оптическая плотность
S109;Контроль;1,328;14;ед;Оптическая плотность
S109;Контроль;1,197;15;ед;Оптическая плотность
S109;Контроль;1,337;16;ед;Оптическая плотность
S109;Контроль;1,207;17;ед;Оптическая плотность
S109;Контроль;1,290;18;ед;Оптическая плотность
S109;Контроль;1,277;19;ед;Оптическая плотность
S109;Контроль;1,210;20;ед;Оптическая плотность
S109;Контроль;1,182;21;ед;Оптическая плотность
S109;Контроль;1,176;22;ед;Оптическая плотность
S109;Контроль;1,293;23;ед;Оптическая плотность
S109;Контроль;1,132;24;ед;Оптическая плотность
S110;Контроль;1,254;1;ед;Оптическая плотность
S110;Контроль;1,221;2;ед;Оптическая плотность
S110;Контроль;1,069;3;ед;Оптическая плотность
S110;Контроль;1,132;4;ед;Оптическая плотность
S110;Контроль;1,295;5;ед;Оптическая плотность
S110;Контроль;1,233;6;ед;Оптическая плотность
S110;Контроль;1,222;7;ед;Оптическая плотность
S110;Контроль;1,373;8;ед;Оптическая плотность
S110;Контроль;1,181;9;ед;Оптическая плотность
S110;Контроль;1,213;10;ед;Оптическая плотность
S110;Контроль;1,285;11;ед;Оптическая плотность
S110;Контроль;1,189;12;ед;Оптическая плотность
S110;Контроль;1,085;13;ед;Оптическая плотность
S110;Контроль;1,211;14;ед;Оптическая плотность
S110;Контроль;1,224;15;ед;Оптическая плотность
S110;Контроль;1,197;16;ед;Оптическая плотность
S110;Контроль;1,495;17;ед;Оптическая плотность
S110;Контроль;1,067;18;ед;Оптическая плотность
S110;Контроль;1,418;19;ед;Оптическая плотность
S110;Контроль;1,377;20;ед;Оптическая плотность
S110;Контроль;1,161;21;ед;Оптическая плотность
S110;Контроль;1,222;22;ед;Оптическая плотность
S110;Контроль;1,023;23;ед;Оптическая плотность
S110;Контроль;1,284;24;ед;Оптическая плотность
S111;Контроль;1,036;1;ед;Оптическая плотность
S111;Контроль;1,297;2;ед;Оптическая плотность
S111;Контроль;1,115;3;ед;Оптическая плотность
S111;Контроль;1,337;4;ед;Оптическая плотность
S111;Контроль;1,104;5;ед;Оптическая плотность
S111;Контроль;1,218;6;ед;Оптическая плотность
S111;Контроль;1,497;7;ед;Оптическая плотность
S111;Контроль;1,437;8;ед;Оптическая плотность
S111;Контроль;1,007;9;ед;Оптическая плотность
S111;Контроль;1,302;10;ед;Оптическая плотность
S111;Контроль;1,299;11;ед;Оптическая плотность
S111;Контроль;1,325;12;ед;Оптическая плотность
S111;Контроль;1,051;13;ед;Оптическая плотность
S111;Контроль;1,454;14;ед;Оптическая плотность
S111;Контроль;1,179;15;ед;Оптическая плотность
S111;Контроль;1,203;16;ед;Оптическая плотность
S111;Контроль;1,072;17;ед;Оптическая плотность
S111;Контроль;1,304;18;ед;Оптическая плотность
S111;Контроль;1,171;19;ед;Оптическая плотность
S111;Контроль;1,368;20;ед;Оптическая плотность
S111;Контроль;1,154;21;ед;Оптическая плотность
S111;Контроль;1,443;22;ед;Оптическая плотность
S111;Контроль;1,124;23;ед;Оптическая плотность
S111;Контроль;1,208;24;ед;Оптическая плотность
S112;Контроль;0,968;1;ед;Оптическая плотность
S112;Контроль;1,327;2;ед;Оптическая плотность
S112;Контроль;1,341;3;ед;Оптическая плотность
S112;Контроль;1,246;4;ед;Оптическая плотность
S112;Контроль;1,103;5;ед;Оптическая плотность
S112;Контроль;1,427;6;ед;Оптическая плотность
S112;Контроль;1,316;7;ед;Оптическая плотность
S112;Контроль;1,254;8;ед;Оптическая плотность
S112;Контроль;1,347;9;ед;Оптическая плотность
S112;Контроль;1,066;10;ед;Оптическая плотность
S112;Контроль;1,474;11;ед;Оптическая плотность
S112;Контроль;1,015;12;ед;Оптическая плотность
S112;Контроль;1,169;13;ед;Оптическая плотность
S112;Контроль;1,277;14;ед;Оптическая плотность
S112;Контроль;1,264;15;ед;Оптическая плотность
S112;Контроль;1,192;16;ед;Оптическая плотность
S112;Контроль;1,396;17;ед;Оптическая плотность
S112;Контроль;1,110;18;ед;Оптическая плотность
S112;Контроль;1,200;19;ед;Оптическая плотность
S112;Контроль;1,360;20;ед;Оптическая плотность
S112;Контроль;1,303;21;ед;Оптическая плотность
S112;Контроль;1,168;22;ед;Оптическая плотность
S112;Контроль;1,363;23;ед;Оптическая плотность
S112;Контроль;0,977;24;ед;Оптическая плотность
S113;Контроль;1,064;1;ед;Оптическая плотность
S113;Контроль;1,292;2;ед;Оптическая плотность
S113;Контроль;1,156;3;ед;Оптическая плотность
S113;Контроль;1,035;4;ед;Оптическая плотность
S113;Контроль;1,453;5;ед;Оптическая плотность
S113;Контроль;1,233;6;ед;Оптическая плотность
S113;Контроль;1,387;7;ед;Оптическая плотность
S113;Контроль;1,165;8;ед;Оптическая плотность
S113;Контроль;1,193;9;ед;Оптическая плотность
S113;Контроль;1,137;10;ед;Оптическая плотность
S113;Контроль;1,354;11;ед;Оптическая плотность
S113;Контроль;1,175;12;ед;Оптическая плотность
S113;Контроль;1,532;13;ед;Оптическая плотность
S113;Контроль;1,200;14;ед;Оптическая плотность
S113;Контроль;1,277;15;ед;Оптическая плотность
S113;Контроль;1,144;16;ед;Оптическая плотность
