entity,group,value,sequence,variable,unit
P001,A,102.127656487,1,outcome,unit
P001,A,103.691869583,2,outcome,unit
P001,A,102.190918675,3,outcome,unit
P001,A,100.6121119,4,outcome,unit
P001,A,103.969248892,5,outcome,unit
P001,A,103.377348091,6,outcome,unit
P001,B,104.533858843,1,outcome,unit
P001,B,105.097534655,2,outcome,unit
P001,B,105.249880555,3,outcome,unit
P001,B,105.627572638,4,outcome,unit
P001,B,106.950201872,5,outcome,unit
P001,B,104.411837766,6,outcome,unit
P002,A,97.7134774235,1,outcome,unit
P002,A,102.002135359,2,outcome,unit
P002,A,100.320368526,3,outcome,unit
P002,A,99.908532923,4,outcome,unit
P002,A,98.7575482577,5,outcome,unit
P002,A,99.7895782167,6,outcome,unit
P002,B,104.013373828,1,outcome,unit
P002,B,101.249083546,2,outcome,unit
P002,B,100.788804929,3,outcome,unit
P002,B,101.834995172,4,outcome,unit
P002,B,98.8446853819,5,outcome,unit
P002,B,101.786764593,6,outcome,unit
P003,A,97.1346435532,1,outcome,unit
P003,A,96.6726521605,2,outcome,unit
P003,A,98.257223746,3,outcome,unit
P003,A,98.4064671658,4,outcome,unit
P003,A,99.2363946624,5,outcome,unit
P003,A,98.919578925,6,outcome,unit
P003,B,99.8109213833,1,outcome,unit
P003,B,96.9556689406,2,outcome,unit
P003,B,98.3048283652,3,outcome,unit
P003,B,101.061087307,4,outcome,unit
P003,B,98.8004521345,5,outcome,unit
P003,B,101.874093592,6,outcome,unit
P004,A,103.511282145,1,outcome,unit
P004,A,100.448859596,2,outcome,unit
P004,A,102.285588629,3,outcome,unit
P004,A,102.500390491,4,outcome,unit
P004,A,101.321603624,5,outcome,unit
P004,A,101.386662764,6,outcome,unit
P004,B,104.376605979,1,outcome,unit
P004,B,104.08192414,2,outcome,unit
P004,B,104.769059823,3,outcome,unit
P004,B,102.638061942,4,outcome,unit
P004,B,105.576799302,5,outcome,unit
P004,B,103.701857251,6,outcome,unit
P005,A,99.7662020214,1,outcome,unit
P005,A,98.2957272699,2,outcome,unit
P005,A,99.6679190775,3,outcome,unit
P005,A,99.6276164469,4,outcome,unit
P005,A,98.0481010679,5,outcome,unit
P005,A,99.0667032651,6,outcome,unit
P005,B,101.047143965,1,outcome,unit
P005,B,99.9525371204,2,outcome,unit
P005,B,100.806827198,3,outcome,unit
P005,B,99.6278266864,4,outcome,unit
P005,B,99.7063631651,5,outcome,unit
P005,B,99.343244211,6,outcome,unit
P006,A,99.705913671,1,outcome,unit
P006,A,100.47119867,2,outcome,unit
P006,A,99.5772636309,3,outcome,unit
P006,A,98.3433771638,4,outcome,unit
P006,A,100.090334751,5,outcome,unit
P006,A,101.284234315,6,outcome,unit
P006,B,102.059492256,1,outcome,unit
P006,B,102.130322886,2,outcome,unit
P006,B,101.939624431,3,outcome,unit
P006,B,102.364617172,4,outcome,unit
P006,B,101.083535761,5,outcome,unit
P006,B,101.957686338,6,outcome,unit
P007,A,95.9842643017,1,outcome,unit
P007,A,98.0870952174,2,outcome,unit
P007,A,97.1912642806,3,outcome,unit
P007,A,97.8159918679,4,outcome,unit
P007,A,99.3247942447,5,outcome,unit
P007,A,98.8775838359,6,outcome,unit
P007,B,97.7178224902,1,outcome,unit
P007,B,98.4323945882,2,outcome,unit
P007,B,102.353310857,3,outcome,unit
P007,B,96.7246808696,4,outcome,unit
P007,B,97.2247611674,5,outcome,unit
P007,B,99.25083124,6,outcome,unit
P008,A,99.2367073365,1,outcome,unit
P008,A,98.2755131531,2,outcome,unit
P008,A,98.1848099521,3,outcome,unit
P008,A,99.8329005324,4,outcome,unit
P008,A,97.1550738162,5,outcome,unit
P008,A,98.9789287766,6,outcome,unit
P008,B,99.5874850024,1,outcome,unit
P008,B,101.654133093,2,outcome,unit
P008,B,101.195423873,3,outcome,unit
P008,B,100.683292792,4,outcome,unit
P008,B,100.811248571,5,outcome,unit
P008,B,98.086934729,6,outcome,unit
P009,A,99.8622895102,1,outcome,unit
P009,A,100.124328784,2,outcome,unit
P009,A,100.494276007,3,outcome,unit
P009,A,100.064724831,4,outcome,unit
P009,A,98.2772874869,5,outcome,unit
P009,A,99.5272866798,6,outcome,unit
P009,B,104.462098128,1,outcome,unit
P009,B,100.867748838,2,outcome,unit
P009,B,100.86362587,3,outcome,unit
P009,B,100.628828642,4,outcome,unit
P009,B,100.590106229,5,outcome,unit
P009,B,100.930281269,6,outcome,unit
P010,A,98.9213291348,1,outcome,unit
P010,A,97.5120274547,2,outcome,unit
P010,A,98.5167042977,3,outcome,unit
P010,A,100.709803442,4,outcome,unit
P010,A,99.1354263211,5,outcome,unit
P010,A,98.9765725178,6,outcome,unit
P010,B,103.136665709,1,outcome,unit
P010,B,100.24705113,2,outcome,unit
P010,B,105.715306939,3,outcome,unit
P010,B,101.476554687,4,outcome,unit
P010,B,101.457571103,5,outcome,unit
P010,B,101.546572825,6,outcome,unit
P011,A,103.273119028,1,outcome,unit
P011,A,101.513556741,2,outcome,unit
P011,A,103.274692757,3,outcome,unit
P011,A,105.884742108,4,outcome,unit
P011,A,102.559206129,5,outcome,unit
P011,A,101.793908232,6,outcome,unit
P011,B,105.045755555,1,outcome,unit
P011,B,104.014437516,2,outcome,unit
P011,B,104.013529822,3,outcome,unit
P011,B,105.241550001,4,outcome,unit
P011,B,105.006136436,5,outcome,unit
P011,B,104.447229974,6,outcome,unit
P012,A,101.308393866,1,outcome,unit
P012,A,100.289346912,2,outcome,unit
P012,A,100.867381528,3,outcome,unit
P012,A,98.0959411586,4,outcome,unit
P012,A,99.8467106051,5,outcome,unit
P012,A,99.6826788113,6,outcome,unit
P012,B,102.907083256,1,outcome,unit
P012,B,103.190723209,2,outcome,unit
P012,B,102.356931868,3,outcome,unit
P012,B,101.974807073,4,outcome,unit
P012,B,101.793697592,5,outcome,unit
P012,B,98.8814746351,6,outcome,unit
P013,A,99.9075197667,1,outcome,unit
P013,A,99.2480090247,2,outcome,unit
P013,A,100.083794091,3,outcome,unit
P013,A,101.239308657,4,outcome,unit
P013,A,99.6140012253,5,outcome,unit
P013,A,98.969637654,6,outcome,unit
P013,B,101.45544671,1,outcome,unit
P013,B,100.042746329,2,outcome,unit
P013,B,103.052372995,3,outcome,unit
P013,B,100.242748335,4,outcome,unit
P013,B,102.124361763,5,outcome,unit
P013,B,101.598331726,6,outcome,unit
