entity,group,value,sequence,variable,unit
G1_01,Group 1,100.505118076,1,outcome,unit
G1_01,Group 1,101.432838399,2,outcome,unit
G1_01,Group 1,100.671529052,3,outcome,unit
G1_01,Group 1,100.750340447,4,outcome,unit
G1_01,Group 1,99.9105528839,5,outcome,unit
G1_01,Group 1,98.5039417168,6,outcome,unit
G1_01,Group 1,102.171256631,7,outcome,unit
G1_01,Group 1,101.360129947,8,outcome,unit
G1_02,Group 1,100.858898308,1,outcome,unit
G1_02,Group 1,100.995764888,2,outcome,unit
G1_02,Group 1,100.581766033,3,outcome,unit
G1_02,Group 1,100.727419851,4,outcome,unit
G1_02,Group 1,101.140949648,5,outcome,unit
G1_02,Group 1,100.067119388,6,outcome,unit
G1_02,Group 1,100.389668373,7,outcome,unit
G1_02,Group 1,101.384431398,8,outcome,unit
G1_03,Group 1,99.0524304098,1,outcome,unit
G1_03,Group 1,101.040465043,2,outcome,unit
G1_03,Group 1,101.838301412,3,outcome,unit
G1_03,Group 1,101.720141834,4,outcome,unit
G1_03,Group 1,99.8069676026,5,outcome,unit
G1_03,Group 1,99.2562783522,6,outcome,unit
G1_03,Group 1,99.4170788077,7,outcome,unit
G1_03,Group 1,99.3975829449,8,outcome,unit
G1_04,Group 1,98.9135966055,1,outcome,unit
G1_04,Group 1,100.173798479,2,outcome,unit
G1_04,Group 1,100.593881619,3,outcome,unit
G1_04,Group 1,100.591826611,4,outcome,unit
G1_04,Group 1,99.9012802811,5,outcome,unit
G1_04,Group 1,100.086330707,6,outcome,unit
G1_04,Group 1,99.1416649123,7,outcome,unit
G1_04,Group 1,101.798616597,8,outcome,unit
G1_05,Group 1,99.6480831361,1,outcome,unit
G1_05,Group 1,99.6409410206,2,outcome,unit
G1_05,Group 1,100.226128621,3,outcome,unit
G1_05,Group 1,101.29882525,4,outcome,unit
G1_05,Group 1,100.293625231,5,outcome,unit
G1_05,Group 1,97.5020343214,6,outcome,unit
G1_05,Group 1,101.14290239,7,outcome,unit
G1_05,Group 1,100.212495571,8,outcome,unit
G1_06,Group 1,99.3901155399,1,outcome,unit
G1_06,Group 1,100.015844599,2,outcome,unit
G1_06,Group 1,100.78551938,3,outcome,unit
G1_06,Group 1,102.183464132,4,outcome,unit
G1_06,Group 1,98.7223527239,5,outcome,unit
G1_06,Group 1,100.182959627,6,outcome,unit
G1_06,Group 1,101.866226034,7,outcome,unit
G1_06,Group 1,101.853052145,8,outcome,unit
G1_07,Group 1,99.970204824,1,outcome,unit
G1_07,Group 1,100.117583104,2,outcome,unit
G1_07,Group 1,98.4995033302,3,outcome,unit
